"Product Name","SKU(s)","Brand","Compatible Printer Models","Status","Client: Correct? (Y/N)","Client: Notes / Corrections"
"HP CF210A Black","HP-CF210A-K","HP","Pro 200 M251 / M276","PARSED — confirm","",""
"HP CE323A Magenta","HP-CE323A-M","HP","Pro CP1525 / CM1415","PARSED — confirm","",""
"HP CE322A Yellow","HP-CE322A-Y","HP","Pro CP1525 / CM1415","PARSED — confirm","",""
"HP CE321A Cyan","HP-CE321A-C","HP","Pro CP1525 / CM1415","PARSED — confirm","",""
"HP CE320A Black","HP-CE320A-K","HP","Pro CP1525 / CM1415","PARSED — confirm","",""
"HP CB543A Magenta","HP-CB543A-M","HP","CP1215 / 1515 / 1518 / CM1312","PARSED — confirm","",""
"HP CB542A Yellow","HP-CB542A-Y","HP","CP1215 / 1515 / 1518 / CM1312","PARSED — confirm","",""
"HP CB541A Cyan","HP-CB541A-C","HP","CP1215 / 1515 / 1518 / CM1312","PARSED — confirm","",""
"HP CB540A Black","HP-CB540A-K","HP","CP1215 / 1515 / 1518 / CM1312","PARSED — confirm","",""
"Canon CL 446 XL Colour","CAN-CL446XL-CLR","Canon","MG 2440 / MX 494","PARSED — confirm","",""
"Canon PG 445 XL Black","CAN-PG445XL-K","Canon","MG 2440 / MX 494","PARSED — confirm","",""
"Canon 731 High Yield Black","CAN-731HIGHYIELD-K","Canon","MF628 / 8280 / LBP7100","PARSED — confirm","",""
"Canon 719 Black","CAN-719-K","Canon","LBP6300 / MF5840 / 5880","PARSED — confirm","",""
"Generic Brother TN261 Black","BRO-TN261-K","Brother","HL3150 / 3170 / MFC9140 / 9330","PARSED — confirm","",""
"Generic Brother LC-472 XL","BRO-LC472XL-K / BRO-LC472XL-C / BRO-LC472XL-M / BRO-LC472XL-Y","Brother","MFC-J5340DW / J5345DW / J5740DW / J6540DW / J6940DW / J2340DW / J3540DW / J3940DW","RESEARCHED — needs confirmation","",""
"HP 903 XL","HP-903XL-K / HP-903XL-C / HP-903XL-M / HP-903XL-Y","HP","OfficeJet 6950 / 6960 / 6961 / 6963 / 6964 / 6965 / 6966 / 6968 / 6970 / 6971 / 6974 / 6975 / 6976 / 6978 / 6979","RESEARCHED — needs confirmation","",""
"Canon CLI 471 XL","CAN-CLI471XL-K / CAN-CLI471XL-C / CAN-CLI471XL-M / CAN-CLI471XL-Y","Canon","PIXMA MG5740 / MG6840 / TS5040 / TS6040 / TS8040 / TS9040","RESEARCHED — needs confirmation","",""
"HP 935 XL","HP-935XL-C / HP-935XL-M / HP-935XL-Y","HP","OfficeJet Pro 6230 / 6830 / 6835 / 6836 / OfficeJet 6220 / 6800 / 6812 / 6815 / 6820 / 6822 / 6825","RESEARCHED — needs confirmation","",""
"HP 933 XL","HP-933XL-C / HP-933XL-M / HP-933XL-Y","HP","OfficeJet 6100 / 6600 / 6700 / 7110 / 7510 / 7610 / 7612 / 7620","RESEARCHED — needs confirmation","",""
"HP 655","HP-655-K / HP-655-C / HP-655-M / HP-655-Y","HP","DeskJet 3525 / 4615 / 4625 / 5525 / 6520 / 6525","RESEARCHED — needs confirmation","",""
"HP 951 XL","HP-951XL-C / HP-951XL-M / HP-951XL-Y","HP","OfficeJet Pro 8100 / 8110 / 8600 / 8610 / 8615 / 8620 / 8625 / 8630 / 8640 / 8660 / 251DW / 276DW","RESEARCHED — needs confirmation","",""
"HP 178 XL","HP-178XL-K / HP-178XL-C / HP-178XL-M / HP-178XL-Y","HP","Photosmart 5510 / 5514 / 5515 / 5520 / 5521 / 6510 / 6512 / 6515 / 6520 / 6521 / 7510 / 7515 / C5300 / C5380 / C5383 / C6300 / C6380 / D5460 / D5463","RESEARCHED — needs confirmation","",""
"HP 177","HP-177-K / HP-177-C / HP-177-M / HP-177-Y","HP","Photosmart 3210 / 3213 / 3308 / 3310 / 3313 / 8230 / 8238 / 8250 / 8253 / C5140 / C5150 / C5180","RESEARCHED — needs confirmation","",""
"HP 920 XL","HP-920XL-K / HP-920XL-C / HP-920XL-M / HP-920XL-Y","HP","OfficeJet 6000 / 6500 / 6500A / 7000 / 7500 / 7500A","RESEARCHED — needs confirmation","",""
"HP 650 XL","HP-650XL-K / HP-650XL3-CLR","HP","DeskJet 1015 / 1515 / 2515 / 2545 / 2645 / 3515 / 2548 / 3548 / 4518 / 2648 / 4648 / 4645","RESEARCHED — needs confirmation","",""
"HP 122 XL","HP-122XL-K / HP-122XL3-CLR","HP","DeskJet 1000 / 1010 / 1011 / 1015 / 1050 / 1055 / 1510 / 1512 / 2050 / 2510 / 2514 / 2540 / 2545 / 3050 / 3054 / 3510 / 3512 / ENVY 4500 / 4502 / 4504 / 5530 / 5534 / OfficeJet 2620 / 2622 / 4630 / 4632","RESEARCHED — needs confirmation","",""
"HP 121 XL","HP-121XL-K / HP-121XL3-CLR","HP","DeskJet D2563 / D2660 / F2423 / F2480 / F4580 / Photosmart C4680 / C4780","RESEARCHED — needs confirmation","",""
"Canon PGI-1400 XL","CAN-PGI1400XL-K / CAN-PGI1400XL-C / CAN-PGI1400XL-M / CAN-PGI1400XL-Y","Canon","MAXIFY MB2040 / MB2140 / MB2340 / MB2740","RESEARCHED — needs confirmation","",""
"Canon PGI-2400 XL","CAN-PGI2400XL-K / CAN-PGI2400XL-C / CAN-PGI2400XL-M / CAN-PGI2400XL-Y","Canon","MAXIFY IB4040 / IB4140 / MB5040 / MB5140 / MB5340 / MB5440","RESEARCHED — needs confirmation","",""
"Canon CLI-451XL","CAN-CLI451XL-K / CAN-CLI451XL-C / CAN-CLI451XL-M / CAN-CLI451XL-Y","Canon","PIXMA MG5440 / MG5540 / MG5640 / MG6440 / MG6640 / iP7240 / iP8740 / iX6840","RESEARCHED — needs confirmation","",""
"Canon CLI-426","CAN-CLI426-K / CAN-CLI426-C / CAN-CLI426-M / CAN-CLI426-Y","Canon","PIXMA IP4840 / IP4940 / IX6540 / MG5140 / MG5240 / MG5340 / MG6140 / MG6240 / MG8140 / MX884","RESEARCHED — needs confirmation","",""
"Generic Brother LC-3719XL","BRO-LC3719XL-K / BRO-LC3719XL-C / BRO-LC3719XL-M / BRO-LC3719XL-Y","Brother","MFC-J3530DW / J2730DW","RESEARCHED — needs confirmation","",""
"Generic Brother LC-77","BRO-LC77-K / BRO-LC77-C / BRO-LC77-M / BRO-LC77-Y","Brother","MFC-J280W / J425W / J430W / J435W / J625DW / J825DW / J835DW / J5910DW / J6510DW / J6710DW / J6910DW","RESEARCHED — needs confirmation","",""
"Generic Brother LC-39","BRO-LC39-K / BRO-LC39-C / BRO-LC39-M / BRO-LC39-Y","Brother","DCP-J125 / J315W / J515W / MFC-J220 / J265W / J410 / J415W","RESEARCHED — needs confirmation","",""
"Generic Brother LC-38/67","BRO-LC3867-K / BRO-LC3867-C / BRO-LC3867-M / BRO-LC3867-Y","Brother","DCP-145C / 165C / 185C / 195C / 375CW / 385C / 395CN / J125 / J140W / MFC-250C / 255CW / 290C / 295CN / 490CN / 490CW / 5490CN / 5890CN / 5895CW / 6490CN / 6490CW / 670CD / 670CDW / 790CW / 795CW / 990CW / J220 / J265W / J410 / J415W / J615W / J630W","RESEARCHED — needs confirmation","",""
"Generic Brother LC-675 XL","BRO-LC675XL-C / BRO-LC675XL-M / BRO-LC675XL-Y","Brother","MFC-J2320 / J2720","RESEARCHED — needs confirmation","",""
"Generic Brother LC-565 XL","BRO-LC565XL-C / BRO-LC565XL-M / BRO-LC565XL-Y","Brother","MFC-J2310 / J2510 / J3520 / J3720","RESEARCHED — needs confirmation","",""
"Generic Brother LC-535 XL","BRO-LC535XL-C / BRO-LC535XL-M / BRO-LC535XL-Y","Brother","DCP-J100 / J105 / MFC-J200","RESEARCHED — needs confirmation","",""
"HP - 123 Toets","HP-123TOETS","","DeskJet 1110 / 1115 / 2130 / 2132 / 2133 / 3630 / 3632 / 3637 / 3638 / ENVY 5020 / 5055","RESEARCHED — needs confirmation","",""
"GI-490 Yellow (70ml)","GI-4-YELLOW70ML","Canon","PIXMA G1400 / G1410 / G1411 / G2400 / G2410 / G2411 / G3400 / G3410 / G3411 / G4400 / G4410 / G4411","RESEARCHED — needs confirmation","",""
"GI-490 Magenta (70ml)","GI-4-MAGENTA70ML","Canon","PIXMA G1400 / G1410 / G1411 / G2400 / G2410 / G2411 / G3400 / G3410 / G3411 / G4400 / G4410 / G4411","RESEARCHED — needs confirmation","",""
"GI-490 Cyan (70ml)","GI-4-CYAN70ML","Canon","PIXMA G1400 / G1410 / G1411 / G2400 / G2410 / G2411 / G3400 / G3410 / G3411 / G4400 / G4410 / G4411","RESEARCHED — needs confirmation","",""
"GI-490 Black (135ml)","GI-4-BLACK135ML","Canon","PIXMA G1400 / G1410 / G1411 / G2400 / G2410 / G2411 / G3400 / G3410 / G3411 / G4400 / G4410 / G4411","RESEARCHED — needs confirmation","",""
"Generic Brother LC-569 XL B","BRO-LC569XLB","Brother","MFC-J2310 / J2510 / J3520 / J3720","RESEARCHED — needs confirmation","",""
"Epson T6644 Yellow","EPS-T6644-Y","Epson","EcoTank L100 / L110 / L120 / L130 / L200 / L210 / L220 / L300 / L310 / L350 / L355 / L360 / L365 / L380 / L550 / L555 / L1300","RESEARCHED — needs confirmation","",""
"Epson T6643 Magenta","EPS-T6643-M","Epson","EcoTank L100 / L110 / L120 / L130 / L200 / L210 / L220 / L300 / L310 / L350 / L355 / L360 / L365 / L380 / L550 / L555 / L1300","RESEARCHED — needs confirmation","",""
"Epson T6642 Cyan","EPS-T6642-C","Epson","EcoTank L100 / L110 / L120 / L130 / L200 / L210 / L220 / L300 / L310 / L350 / L355 / L360 / L365 / L380 / L550 / L555 / L1300","RESEARCHED — needs confirmation","",""
"Epson T6641 Black","EPS-T6641-K","Epson","EcoTank L100 / L110 / L120 / L130 / L200 / L210 / L220 / L300 / L310 / L350 / L355 / L360 / L365 / L380 / L550 / L555 / L1300","RESEARCHED — needs confirmation","",""
"Canon PGI 470 XL Black","CAN-PGI470XL-K","Canon","PIXMA MG5740 / MG6840 / TS5040 / TS6040 / TS8040 / TS9040","RESEARCHED — needs confirmation","",""
"HP 934 XL BLACK","HP-934XL-K","HP","OfficeJet Pro 6230 / 6830 / 6835 / 6836 / OfficeJet 6220 / 6800 / 6812 / 6815 / 6820 / 6822 / 6825","RESEARCHED — needs confirmation","",""
"HP 932 XL Black","HP-932XL-K","HP","OfficeJet 6100 / 6600 / 6700 / 7110 / 7510 / 7610 / 7612 / 7620","RESEARCHED — needs confirmation","",""
"HP 950 XL Black","HP-950XL-K","HP","OfficeJet Pro 8100 / 8110 / 8600 / 8610 / 8615 / 8620 / 8625 / 8630 / 8640 / 8660 / 251DW / 276DW","RESEARCHED — needs confirmation","",""
"HP 177 Magenta Light","HP-177MAGENTALIGHT","HP","Photosmart 3210 / 3213 / 3308 / 3310 / 3313 / 8230 / 8238 / 8250 / 8253 / C5140 / C5150 / C5180","RESEARCHED — needs confirmation","",""
"HP 177 Cyan Light","HP-177CYANLIGHT","HP","Photosmart 3210 / 3213 / 3308 / 3310 / 3313 / 8230 / 8238 / 8250 / 8253 / C5140 / C5150 / C5180","RESEARCHED — needs confirmation","",""
"HP 901 XL Black","HP-901XL-K","HP","OfficeJet 4500 / G510a / G510g / G510n / J4500 / J4524 / J4540 / J4550 / J4580 / J4640 / J4680","RESEARCHED — needs confirmation","",""
"HP 901 3-Colour","HP-9013-CLR","HP","OfficeJet 4500 / G510a / G510g / G510n / J4500 / J4524 / J4540 / J4550 / J4580 / J4640 / J4680","RESEARCHED — needs confirmation","",""
"HP 141 XL 3-Colour","HP-141XL3-CLR","HP","Photosmart C4200 / C4280 / C4380 / C4400 / C4450 / C4470 / C4480 / C4485 / C4488 / C4493","RESEARCHED — needs confirmation","",""
"HP 140 XL Black","HP-140XL-K","HP","Photosmart C4200 / C4280 / C4380 / C4400 / C4450 / C4470 / C4480 / C4485 / C4488 / C4493","RESEARCHED — needs confirmation","",""
"HP 136 3-Colour","HP-1363-CLR","HP","DeskJet 5443 / D4163 / OfficeJet 6313 / Photosmart 2573 / C3183 / C4183 / D5163 / PSC 1513","RESEARCHED — needs confirmation","",""
"HP 132 Black","HP-132-K","HP","DeskJet D4145 / D4155 / D4160 / D4163 / D4168 / 5943 / 6983 / Photosmart 2575 / 8050 / C4180 / D5063 / OfficeJet 6310","RESEARCHED — needs confirmation","",""
"HP 134 3-Colour","HP-1343-CLR","HP","DeskJet 460C / 460CB / 5743 / 5943 / 6543 / 6843 / 6943 / 6983 / OfficeJet 100 / 150 / 6213 / 7213 / 7313 / 7413 / Photosmart 325 / 335 / 375 / 385 / 428 / 475 / 2573 / 2613 / 2713 / 8053","RESEARCHED — needs confirmation","",""
"HP 131 Black","HP-131-K","HP","DeskJet D4145 / D4155 / D4160 / D4163 / D4168 / 5943 / 6983 / Photosmart 2575 / 8050 / C4180 / D5063 / OfficeJet 6310","RESEARCHED — needs confirmation","",""
"HP 130 Black","HP-130-K","HP","DeskJet D4145 / D4155 / D4160 / D4163 / D4168 / 5943 / 6983 / Photosmart 2575 / 8050 / C4180 / D5063 / OfficeJet 6310","RESEARCHED — needs confirmation","",""
"HP 28 3-Colour","HP-283-CLR","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / 5650 / 5652 / 5850 / PSC 1110 / 1210 / 1315 / OfficeJet 5605 / 5610","RESEARCHED — needs confirmation","",""
"HP 27 Black","HP-27-K","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / 5650 / 5652 / 5850 / PSC 1110 / 1210 / 1315 / OfficeJet 5605 / 5610","RESEARCHED — needs confirmation","",""
"HP 57 3-Colour","HP-573-CLR","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / 5650 / 5652 / 5850 / PSC 1110 / 1210 / 1315 / OfficeJet 5605 / 5610","RESEARCHED — needs confirmation","",""
"HP 56 Black","HP-56-K","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / 5650 / 5652 / 5850 / PSC 1110 / 1210 / 1315 / OfficeJet 5605 / 5610","RESEARCHED — needs confirmation","",""
"HP 22 XL 3-Colour","HP-22XL3-CLR","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / PSC 1100 / 1110 / 1210 / 1315","RESEARCHED — needs confirmation","",""
"HP 21 XL Black","HP-21XL-K","HP","DeskJet 3320 / 3420 / 3550 / 3650 / 3740 / 3840 / PSC 1100 / 1110 / 1210 / 1315","RESEARCHED — needs confirmation","",""
"HP 129 Black","HP-129-K","HP","DeskJet D4145 / D4155 / D4160 / D4163 / D4168 / 5943 / 6983 / Photosmart 2575 / 8050 / C4180 / D5063 / OfficeJet 6310","RESEARCHED — needs confirmation","",""
"HP 17 3-Colour","HP-173-CLR","HP","DeskJet 816 / 825 / 827 / 840 / 841 / 842 / 843 / 845 / 848","RESEARCHED — needs confirmation","",""
"HP 23 3-Colour","HP-233-CLR","HP","DeskJet 782C / 810 / 812 / 815 / 830 / PSC 500 / OfficeJet v30 / v40 / v45","RESEARCHED — needs confirmation","",""
"HP 78 3-Colour","HP-783-CLR","HP","DeskJet 920 / 930 / 932 / 940 / 955 / 960 / 980 / 3820 / 9300 / OfficeJet g55 / g85 / k80 / v40 / PSC 750 / 950","RESEARCHED — needs confirmation","",""
"Samsung  M43 Black","SAM-M43-K","Samsung","SF-370 / SF-371 / SF-375TP","RESEARCHED — needs confirmation","",""
"Samsung  M40 Black","SAM-M40-K","Samsung","SF-335 / SF-345T / SF-360 / SF-365","RESEARCHED — needs confirmation","",""
"Canon PGI-450XL Black","CAN-PGI450XL-K","Canon","PIXMA MG5440 / MG5540 / MG5640 / MG6340 / MG6440 / iP7240 / iP8740 / iX6840","RESEARCHED — needs confirmation","",""
"Canon PGI-425 Black","CAN-PGI425-K","Canon","PIXMA IP4840 / IP4940 / IX6540 / MG5140 / MG5240 / MG5340 / MG6140 / MG6240 / MG8140 / MX884","RESEARCHED — needs confirmation","",""
"Lexmark Nr.35 Colour","LEX-NR35-CLR","Lexmark","X2500 / X2530 / X2550 / X3330 / X3350 / X3550 / X4550 / X5250 / X5340 / X5410 / X5470 / Z815 / Z845","RESEARCHED — needs confirmation","",""
"Lexmark Nr. 34 Black","LEX-NR34-K","Lexmark","X2500 / X2530 / X2550 / X3330 / X3350 / X3550 / X4550 / X5250 / X5340 / X5410 / X5470 / Z815 / Z845","RESEARCHED — needs confirmation","",""
"Lexmark Nr.37 XL Colour","LEX-NR37XL-CLR","Lexmark","X3650 / X4650 / X5650 / X5650es / X6650 / X6675 / Z2400 / Z2420","RESEARCHED — needs confirmation","",""
"Lexmark Nr.36 XL Black","LEX-NR36XL-K","Lexmark","X3650 / X4650 / X5650 / X5650es / X6650 / X6675 / Z2400 / Z2420","RESEARCHED — needs confirmation","",""
"Lexmark Nr.26 Colour","LEX-NR26-CLR","Lexmark","i3 / X1100 / X1110 / X1130 / X1150 / X1185 / X1290 / X2230 / X2240 / X2250 / X72 / X74 / Z600 / Z605 / Z615 / Z640 / Z645","RESEARCHED — needs confirmation","",""
"Lexmark Nr.16 Black","LEX-NR16-K","Lexmark","i3 / X1100 / X1110 / X1130 / X1150 / X1185 / X1290 / X2230 / X2240 / X2250 / X72 / X74 / Z600 / Z605 / Z615 / Z640 / Z645","RESEARCHED — needs confirmation","",""
"Lexmark Nr.15 Colour","LEX-NR15-CLR","Lexmark","X2600 / X2630 / X2650 / X2670 / Z2300 / Z2320","RESEARCHED — needs confirmation","",""
"Lexmark Nr. 14 Black","LEX-NR14-K","Lexmark","X2600 / X2630 / X2650 / X2670 / Z2300 / Z2320","RESEARCHED — needs confirmation","",""
"Epson T0796 Photo Magenta","EPS-T0796PHOTO-M","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T0795 Photo Cyan","EPS-T0795PHOTO-C","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T0794 Yellow","EPS-T0794-Y","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T0793 Magenta","EPS-T0793-M","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T0792 Cyan","EPS-T0792-C","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T0791 Black","EPS-T0791-K","Epson","Stylus Photo 1400 / 1410 / 1500W / P50 / PX650 / PX660 / PX700W / PX710W / PX730WD / PX800FW / PX810FW / PX820FWD / PX830FWD","RESEARCHED — needs confirmation","",""
"Epson T7024 Yellow","EPS-T7024-Y","Epson","WorkForce Pro WP-4015 / WP-4020 / WP-4025 / WP-4095 / WP-4515 / WP-4520 / WP-4525 / WP-4530 / WP-4535 / WP-4540 / WP-4545 / WP-4590 / WP-4595","RESEARCHED — needs confirmation","",""
"Epson T7023 Magenta","EPS-T7023-M","Epson","WorkForce Pro WP-4015 / WP-4020 / WP-4025 / WP-4095 / WP-4515 / WP-4520 / WP-4525 / WP-4530 / WP-4535 / WP-4540 / WP-4545 / WP-4590 / WP-4595","RESEARCHED — needs confirmation","",""
"Epson T7022 Cyan","EPS-T7022-C","Epson","WorkForce Pro WP-4015 / WP-4020 / WP-4025 / WP-4095 / WP-4515 / WP-4520 / WP-4525 / WP-4530 / WP-4535 / WP-4540 / WP-4545 / WP-4590 / WP-4595","RESEARCHED — needs confirmation","",""
"Epson T7021 Black","EPS-T7021-K","Epson","WorkForce Pro WP-4015 / WP-4020 / WP-4025 / WP-4095 / WP-4515 / WP-4520 / WP-4525 / WP-4530 / WP-4535 / WP-4540 / WP-4545 / WP-4590 / WP-4595","RESEARCHED — needs confirmation","",""
"Epson T1294 Yellow","EPS-T1294-Y","Epson","Stylus SX230 / SX235W / SX420W / SX425W / SX430W / SX435W / SX445W / SX525WD / SX535WD / SX620FW / Stylus Office BX305F / BX320FW / BX525WD / BX535WD / BX625FWD / BX630FW / BX635FWD / WorkForce WF-3010 / WF-3520 / WF-3530 / WF-3540 / WF-7015 / WF-7515 / WF-7525","RESEARCHED — needs confirmation","",""
"Epson T1293 Magenta","EPS-T1293-M","Epson","Stylus SX230 / SX235W / SX420W / SX425W / SX430W / SX435W / SX445W / SX525WD / SX535WD / SX620FW / Stylus Office BX305F / BX320FW / BX525WD / BX535WD / BX625FWD / BX630FW / BX635FWD / WorkForce WF-3010 / WF-3520 / WF-3530 / WF-3540 / WF-7015 / WF-7515 / WF-7525","RESEARCHED — needs confirmation","",""
"Epson T1292 Cyan","EPS-T1292-C","Epson","Stylus SX230 / SX235W / SX420W / SX425W / SX430W / SX435W / SX445W / SX525WD / SX535WD / SX620FW / Stylus Office BX305F / BX320FW / BX525WD / BX535WD / BX625FWD / BX630FW / BX635FWD / WorkForce WF-3010 / WF-3520 / WF-3530 / WF-3540 / WF-7015 / WF-7515 / WF-7525","RESEARCHED — needs confirmation","",""
"Epson T1291 Black","EPS-T1291-K","Epson","Stylus SX230 / SX235W / SX420W / SX425W / SX430W / SX435W / SX445W / SX525WD / SX535WD / SX620FW / Stylus Office BX305F / BX320FW / BX525WD / BX535WD / BX625FWD / BX630FW / BX635FWD / WorkForce WF-3010 / WF-3520 / WF-3530 / WF-3540 / WF-7015 / WF-7515 / WF-7525","RESEARCHED — needs confirmation","",""
"Epson T0924 Yellow","EPS-T0924-Y","Epson","Stylus C51 / C91 / CX4300 / T26 / T27 / TX106 / TX109 / TX117 / TX119","RESEARCHED — needs confirmation","",""
"Epson T0923 Magenta","EPS-T0923-M","Epson","Stylus C51 / C91 / CX4300 / T26 / T27 / TX106 / TX109 / TX117 / TX119","RESEARCHED — needs confirmation","",""
"Epson T0922 Cyan","EPS-T0922-C","Epson","Stylus C51 / C91 / CX4300 / T26 / T27 / TX106 / TX109 / TX117 / TX119","RESEARCHED — needs confirmation","",""
"Epson T0921 Black","EPS-T0921-K","Epson","Stylus C51 / C91 / CX4300 / T26 / T27 / TX106 / TX109 / TX117 / TX119","RESEARCHED — needs confirmation","",""
"Generic Brother LC-679 XL Black","BRO-LC679XL-K","Brother","MFC-J2320 / J2720","RESEARCHED — needs confirmation","",""
"Generic Brother LC-539 XL Black","BRO-LC539XL-K","Brother","DCP-J100 / J105 / MFC-J200","RESEARCHED — needs confirmation","",""
